time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1561001048.18440104,0.02141164,4721,0.00504927,0.00000000,0,0.00000000,170084,170461,1162,0.00000000
1561001048.28432369,0.02798940,4730,0.00489448,0.00000000,0,0.00000000,170461,171043,1094,0.00275495
1561001048.38270640,0.02533330,4780,0.00583951,0.00000000,0,0.00000000,169855,170121,1094,0.00000000
1561001048.48293710,0.02032500,4779,0.00465276,0.00000000,0,0.00000000,170121,170768,1178,0.00250347
1561001048.58464837,0.02949253,4802,0.00482089,0.00000000,0,0.00000000,168266,169006,1096,0.00000000
1561001048.68521404,0.02320973,4781,0.00335836,0.00000000,0,0.00000000,169006,169785,1085,0.00167852
1561001048.78465056,0.01933093,4781,0.00438919,0.00000000,0,0.00000000,169785,170367,1116,0.00000000
1561001048.88272333,0.02163531,4769,0.00391796,0.00000000,0,0.00000000,170367,170896,1097,0.00320440
1561001048.98580265,0.02137353,4780,0.00328349,0.00000000,0,0.00000000,170896,171399,1076,0.00000000
1561001049.08593822,0.02196613,4793,0.00330361,0.00000000,0,0.00000000,171399,171925,1114,0.00240113
1561001049.18461180,0.01934911,4756,0.00378353,0.00000000,0,0.00000000,171925,172444,1033,0.00000000
1561001049.28560543,0.01756961,4788,0.00304774,0.00000000,0,0.00000000,172444,172967,1075,0.00200707
1561001049.38394427,0.02390039,4784,0.00610187,0.00000000,0,0.00000000,172967,173360,1000,0.00000000
1561001049.48582768,0.02369303,4829,0.00870496,0.00000000,0,0.00000000,173360,174062,1042,0.00409561
1561001049.58479476,0.02496267,4853,0.00596649,0.00000000,0,0.00000000,171377,172025,1038,0.00000000
1561001049.68594861,0.02207789,4828,0.00403322,0.00000000,0,0.00000000,172025,172719,1074,0.00213239
1561001049.78596401,0.02285876,4785,0.00279974,0.00000000,0,0.00000000,172719,173337,984,0.00000000
1561001049.88433003,0.02235536,4868,0.00511412,0.00000000,0,0.00000000,173337,173744,1020,0.00232894
1561001049.98578858,0.02098037,4873,0.00341244,0.00000000,0,0.00000000,173744,174357,1062,0.00000000
1561001050.08474469,0.01739691,4878,0.00307660,0.00000000,0,0.00000000,174357,175015,1094,0.00181378
1561001050.18456507,0.02253892,4865,0.00413198,0.00000000,0,0.00000000,175015,175531,1081,0.00000000
1561001050.28557134,0.01985319,4868,0.00347697,0.00000000,0,0.00000000,175531,176093,988,0.00197403
1561001050.38558125,0.02145348,4904,0.00508678,0.00000000,0,0.00000000,176093,176599,995,0.00000000
1561001050.48575282,0.02583332,4855,0.00375399,0.00000000,0,0.00000000,176599,177014,1023,0.00229365
1561001050.58626938,0.03264422,4833,0.00575782,0.00000000,0,0.00000000,177014,177579,1078,0.00000000
1561001050.68658686,0.02500134,4858,0.00295260,0.00000000,0,0.00000000,177579,178124,1014,0.00209612
1561001050.78770208,0.02559771,4945,0.00421623,0.00000000,0,0.00000000,178124,178574,1001,0.00000000
1561001050.88581085,0.02016088,4856,0.00492378,0.00000000,0,0.00000000,178574,178846,955,0.00240888
1561001050.98794436,0.01987977,4827,0.00327188,0.00000000,0,0.00000000,178846,179422,991,0.00000000
1561001051.08641648,0.02579501,4899,0.00509314,0.00000000,0,0.00000000,179422,179898,1056,0.00400339
1561001051.18769312,0.02155919,4879,0.00737227,0.00000000,0,0.00000000,179898,180378,1069,0.00000000
1561001051.28759384,0.02388060,4888,0.00462650,0.00000000,0,0.00000000,180378,180753,1050,0.00211394
1561001051.38690639,0.02686519,4870,0.00431521,0.00000000,0,0.00000000,180753,181004,960,0.00000000
1561001051.48608112,0.02296494,4849,0.00345285,0.00000000,0,0.00000000,181004,181516,986,0.00317038
1561001051.58596563,0.02297520,4870,0.00578470,0.00000000,0,0.00000000,181516,181974,965,0.00000000
1561001051.68547201,0.02320504,4909,0.00452002,0.00000000,0,0.00000000,179522,180040,1041,0.00249308
